URL, number of outlinks
http://item.gmarket.co.kr/Item?goodscode=1941647501&ver=637813093117856024, 76
https://www.gmarket.co.kr/CJoshopping/List?Category=100000036&DisplayType=None&SortType=None, 2
http://item.gmarket.co.kr/Item?goodscode=2353671184&ver=637813092833472981, 63
http://item.gmarket.co.kr/Item?goodscode=1517019865&ver=637813092919075938, 66
http://item.gmarket.co.kr/Item?goodscode=2316903829&ver=637813092833160921, 61
http://item.gmarket.co.kr/Item?goodscode=1732139416, 70
http://corners.gmarket.co.kr/ExpressShop/Category?CategoryCode=1000016, 86
http://item.gmarket.co.kr/Item?goodscode=2345905408&ver=637813092530640137, 80
http://item.gmarket.co.kr/Item?goodscode=1654805524&ver=637813092833472981, 56
http://item.gmarket.co.kr/Item?goodscode=1157707109&ver=637813092547813132, 50
http://item.gmarket.co.kr/Item?goodscode=1748180844, 67
http://item.gmarket.co.kr/Item?goodscode=2355497401&ver=637813092833482782, 73
https://www.gmarket.co.kr/ssgtv/List?Category=100000031&DisplayType=None&SortType=None, 2
http://item.gmarket.co.kr/Item?goodscode=2024574657&ver=637813093042881048, 78
http://item.gmarket.co.kr/Item?goodscode=1668019106&ver=637813092907516392, 50
http://item.gmarket.co.kr/Item?goodscode=1885042225, 78
http://item.gmarket.co.kr/Item?goodscode=1807235725&ver=637813092717922987, 60
http://item.gmarket.co.kr/Item?goodscode=1942098159&ver=637813093150680909, 69
http://item.gmarket.co.kr/Item?goodscode=989165626&ver=637813092717922987, 79
http://item.gmarket.co.kr/Item?goodscode=2327646309, 74
http://item.gmarket.co.kr/Item?goodscode=1942647598&ver=637813092907516392, 67
https://www.gmarket.co.kr/hdepart01/List?Category=100000058&DisplayType=None&SortType=None, 2
https://www.gmarket.co.kr/ javascript:adReport('A23R15S520293307');checkAdLink('520293307','http:/item.gmarket.co.kr/Item?goodscode=2031038112&amp;ver=637813092564844972','','2','AdCheckForm') , 2
https://www.gmarket.co.kr/n/smiledelivery/category?categoryCode=1001003, 208
