URL, number of outlinks
https://www.tudn.com/futbol/uefa-champions-league/cerca-edson-alvarez-disparo-que-se-estrella-en-el-poste-video-5, 71
https://www.tudn.com/nfl/tom-brady-debutara-en-hollywood-como-actor-y-productor-video, 71
https://www.tudn.com/futbol/mls/inicia-la-temporada-27-de-la-mls-y-promete-ser-emocionante-video, 68
https://www.tudn.com/futbol/mls/atlanta-united-fc-fin-de-semana-goleada-birmingham-legion-presentacion-camiseta-secundaria-gonzalo-pineda-josef-martinez-fotos, 108
https://www.tudn.com/futbol/liga-mx/quien-sera-el-siguiente-la-guillotina-ha-estado-desatada-con-los-dts-video, 67
https://www.tudn.com/futbol/liga-campeones-concacaf/pumas-vuelve-a-ganar-por-aire-aaron-cruz-le-impide-el-gol-a-diogo-video, 68
https://www.tudn.com/futbol/uefa-europa-league/dinamo-zagreb-vs-sevilla-uefa-europa-league-2022-02-24, 58
https://www.tudn.com/boxeo/trilogia-chocolatito-gonzalez-admite-que-boxeo-aun-debe-algo-carrera, 63
https://www.tudn.com/futbol/uefa-champions-league/resultados, 68
https://www.tudn.com/futbol/liga-campeones-concacaf/landin-confia-en-que-guastatoya-de-la-sorpresa-en-el-juego-contra-el-leon-liga-de-campeones-concacaf, 66
https://www.tudn.com/futbol/liga-campeones-concacaf/cerca-valentin-castellanos-disparo-que-se-estrella-en-el-poste-video, 71
https://www.tudn.com/archivo/2021, 127
https://www.tudn.com/futbol/liga-mx/resultados, 76
https://www.tudn.com/videos-virales, 87
https://www.tudn.com/futbol/liga-mx/cruz-azul-vs-santos-laguna-liga-mx-clausura-2022-02-27, 55
https://www.tudn.com/futbol/uefa-champions-league/cuidado-chelsea-presume-el-titulo-del-mundial-de-clubes-y-lo-mojan-video, 71
https://www.tudn.com/les-faltaron-los-guantes-cowell-y-alcantar-se-prenden-tras-falta-video, 71
https://www.tudn.com/futbol/liga-mx/hernan-cristante-pide-queretaro-no-sea-miedoso-clausura-2022, 70
https://www.tudn.com/futbol/liga-campeones-concacaf/tiro-atajado-disparo-por-marvin-angulo-video, 68
https://www.tudn.com/futbol/liga-mx/ivan-morales-refuerzo-delantera-cruz-azul-grita-mexico-clausura-2022, 66
https://www.tudn.com/futbol/uefa-europa-league/napoli-vs-fc-barcelona-uefa-europa-league-2022-02-24, 58
https://www.tudn.com/futbol/liga-mx/seleccionados-joaquin-montecinos-leandro-lopez-llegaran-como-refuerzos-xolos-tijuana, 64
https://www.tudn.com/futbol/liga-campeones-concacaf/gol-anota-para-colorado-rapids-cf-nicolas-mezquida-video, 68
https://www.tudn.com/futbol/uefa-champions-league/tiro-atajado-disparo-por-goncalo-ramos-video, 71
https://www.tudn.com/futbol/uefa-champions-league/gol-anota-para-benfica-roman-yaremchuk-video-1, 69
https://www.tudn.com/futbol/uefa-champions-league/jose-maria-gimenez-piensa-que-fue-injusto-el-empate-con-el-united-video, 70
https://www.tudn.com/futbol/mls/cuando-y-a-que-hora-juegan-charlotte-fc-vs-la-galaxy-video, 68
https://www.tudn.com/futbol/la-liga/que-pasos-memphis-no-desentona-al-bailar-salsa-video, 71
https://www.tudn.com/futbol/dutch-eredivisie/ajax, 71
https://www.tudn.com/futbol/uefa-europa-league/sevilla-aprovecha-la-localia-y-da-el-primer-paso-sobre-dinamo-europa-league, 70
https://www.tudn.com/futbol/uefa-europa-conference-league/resumen-juegos-ida-playoffs-uefa-conference-league, 71
https://www.tudn.com/futbol/mexico/resumen-mexico-no-descifra-a-canada-e-igualan-1-1-en-el-azteca-video, 68
https://www.tudn.com/futbol/mexico/javier-chicharito-hernandez-acepta-deseo-volver-seleccion-mexicana-resalta-crecimiento-mls, 66
https://www.tudn.com/futbol/mls/shaqiri-y-su-mision-en-el-chicago-fire-tratar-de-recuperar-la-gloria-video, 68
https://www.tudn.com/futbol/liga-mx/descenso, 72
https://www.tudn.com/mundial-catar-2022, 83
https://www.tudn.com/futbol/uefa-champions-league/resumen-serie-sentenciada-liverpool-derrota-0-2-al-inter-a-domicilio-video, 70
https://www.tudn.com/futbol/liga-campeones-concacaf/saprissa-rescata-empate-ante-pumas-concacaf-liga-campeones-con-error-alfredo-talvera, 66
https://www.tudn.com/temas/fifa, 98
https://www.tudn.com/futbol/la-liga, 89
https://www.tudn.com/futbol/serie-a, 80
https://www.tudn.com/futbol/mexico/carlos-vela-cierra-puertas-seleccion-de-mexico-de-forma-definitiva, 67
https://www.tudn.com/boxeo/el-canelo-y-jc-chavez-estaran-presentes-en-la-clase-de-box-mas-grande-mundo, 66
https://www.tudn.com/futbol/liga-campeones-concacaf/saprissa, 75
https://www.tudn.com/futbol/liga-campeones-concacaf/gol-anota-para-cf-montreal-ismael-kone-video, 69
https://www.tudn.com/futbol/liga-campeones-concacaf/ya-generan-peligro-anangono-la-manda-por-un-costado-ante-colorado-video, 68
https://www.tudn.com/mundial-catar-2022/fifa-ajusta-fecha-del-sorteo-para-qatar-2022-y-sera-presencial-video, 72
https://www.tudn.com/temas/oscar-caliz, 105
https://www.tudn.com/futbol/eeuu/estados-unidos-golea-islandia-campeon-shebelieves-cup-2022, 65
https://www.tudn.com/boxeo/ryan-garcia-renuncia-entrenar-con-eddy-reynoso-da-conocer-nuevo-entrenador-joe-goossen, 65
https://www.tudn.com/futbol/mexico/partidos-que-planea-jugar-la-seleccion-mexicana-antes-del-mundial-2022-video, 68
https://www.tudn.com/futbol/uefa-champions-league/gol-anota-para-atletico-de-madrid-joao-felix-video-7, 69
https://www.tudn.com/futbol/liga-campeones-concacaf/tiro-atajado-disparo-por-ismael-kone-video, 71
https://www.tudn.com/futbol/uefa-europa-league/real-sociedad-empata-y-atalanta-saca-ventaja-en-casa-en-europa-league, 61
https://www.tudn.com/futbol/liga-campeones-concacaf/julio-gonzalez-se-mete-en-problemas-da-dos-rebotes-y-casi-le-cuesta-video, 69
https://www.tudn.com/futbol/mls-houston-dynamo-hector-herrera-oferta-al-atletico-de-madrid, 67
https://www.tudn.com/futbol/liga-mx/puebla-derrota-monterrey-perdido-sigue-lider-grita-mexico-c22-liga-mx, 73
